"location","time_period","rurality","pc_level3_vocational_students_entered_tech_levels","pc_achieving_3_astar_to_a_alev","pc_achieving_atleast_two_alev","pc_achieving_atleast_two_substantial_lev3_acad","pc_achieving_atleast_two_substantial_lev3","pc_achieving_aab_or_better_alev","pc_achieving_aab_or_better_atleast_two_facilitating_alev","pc_level2_vocational_students_entered_technicalcertificate","pc_level3_vocational_students_entered_applied_generals"
"North East",201718,"Urban -  City and town","10.4","9.8","68.3","68",72.8,"17.9","13.2","47.6",22.4
"North East",201718,"Urban - Major conurbation","8.2","8.7","68.8","68.2",72.7,"15.4","12.3","35.7",22.8
"North East",201819,"Rural - Hamlet and isolated dwellings","82.6","13.2","71.3","71.3",80,"19.8","16.5","NULL",94.7
"North East",201819,"Rural - Town and fringe","5.3","15.1","69","67.7",78.2,"26.3","22.4","11.1",94.9
"North East",201819,"Urban -  City and town","19.3","10.4","72.9","72.2",75.2,"17.4","13.1","5.3",33.1
"North East",201819,"Urban - Major conurbation","15.7","8.3","73.6","73.2",77.1,"15.3","11.7","4.4",31.7
"North East",201920,"Rural - Hamlet and isolated dwellings","84.4","27.8","84.4","83.5",95.1,"40.7","29.6","NULL",96.3
"North East",201920,"Rural - Town and fringe","2","22.2","75.1","74.5",84.2,"34.8","29.1","20",72.5
"North East",201920,"Urban -  City and town","19.6","19.1","78.3","77.1",80.1,"29.4","20","6",35.8
"North East",201920,"Urban - Major conurbation","20.5","17.4","80.9","79.8",80.6,"27.6","19.1","6.4",39.4
"North West",201718,"Rural - Hamlet and isolated dwellings","16.2","3.1","39.5","23.9",34,"4.7","3.1","50.3",5.4
"North West",201718,"Rural - Town and fringe","42.2","11.2","80.6","80.7",86,"20.7","15.4","56.5",84.1
"North West",201718,"Rural - Village","0","5.4","79.4","80.2",80.2,"8.6","6.5","0",37.9
"North West",201718,"Urban -  City and town","4.4","10.2","73.8","73.1",74.7,"17.9","12.7","37.6",13.9
"North West",201718,"Urban - Major conurbation","5.3","9.5","73.7","73.2",76.7,"16.5","11.8","34.3",23.3
"North West",201819,"Rural - Hamlet and isolated dwellings","38.8","0","52.9","27.3",56.1,"4.5","4.5","3.2",17.7
"North West",201819,"Rural - Town and fringe","73","13","76.5","76.2",83.7,"21.9","17.2","0",92.4
"North West",201819,"Rural - Village","0","5","61.3","62.2",72,"15","12.5","NULL",88.9
"North West",201819,"Urban -  City and town","7.3","10.5","78.4","77.3",79.2,"18","12.9","2.5",20.1
"North West",201819,"Urban - Major conurbation","7.4","9","79.5","78.6",81.9,"15.8","11.5","5.4",26.3
"North West",201920,"Rural - Hamlet and isolated dwellings","48.8","11.8","60.2","36.1",69.2,"13.7","13.7","10.8",15.1
"North West",201920,"Rural - Town and fringe","47.4","19","87.8","87.5",94.6,"29.6","21.3","0",82.5
"North West",201920,"Rural - Village","0","10.3","75.7","75.9",79.8,"24.4","20.5","NULL",65.6
"North West",201920,"Urban -  City and town","9.8","18.6","86","84.4",85.1,"28.8","18.9","3.6",26.2
"North West",201920,"Urban - Major conurbation","9","17.8","85.7","84.2",86.5,"28","18.8","8.9",34.1
"South East",201718,"Rural - Hamlet and isolated dwellings","8.5","7.3","65.5","65",62,"15","10.5","55.1",12.9
"South East",201718,"Rural - Town and fringe","10","9.6","74","72.8",77.7,"16.2","12","28.2",45
"South East",201718,"Rural - Village","14.2","10.6","80.7","80.1",84.8,"18.9","14.9","64.7",35.6
"South East",201718,"Urban -  City and town","6.8","11.6","75.4","74.9",77.4,"19.5","14.8","39.9",25.2
"South East",201718,"Urban - Major conurbation","4.1","11.5","72.3","73.6",77,"19.5","14.3","47.2",22.7
"South East",201819,"Rural - Hamlet and isolated dwellings","41","7.2","67.6","64.3",69,"13.6","10.4","5.5",22.9
